Time [s],Channel 0
0.000000000,0
0.000282600,1
0.000691600,0
0.002586300,1
0.005750200,0
0.008521300,1
0.008672600,0
0.010942700,1
0.013935300,0
0.016864200,1
0.019366800,0
0.019667300,1
0.021105000,0
0.024228700,1
0.027384200,0
0.029138500,1
0.030596000,0
0.032816200,1
0.035048300,0
0.035912700,1
0.039047000,0
0.040389800,1
0.041686200,0
0.042068900,1
0.043381300,0
0.045201300,1
0.046868000,0
0.048258200,1
0.051360900,0
0.053745300,1
0.054958400,0
0.056121400,1
0.058975500,0
0.059754600,1
0.062428000,0
0.064958800,1
0.066199000,0
0.066609600,1
0.068188900,0
0.068982000,1
0.071873500,0
0.072964800,1
0.076165400,0
0.078312500,1
0.079567100,0
0.080303800,1
0.082721000,0
0.084823400,1
0.087346600,0
0.088608600,1
0.089440600,0
0.090001100,1
0.091581800,0
0.091904600,1
0.094044200,0
0.095798300,1
0.096249800,0
0.097868700,1
0.099322400,0
0.099811500,1
0.102093200,0
0.105111400,1
0.105151900,0
0.105281700,1
0.106021700,0
0.107324000,1
0.109284600,0
0.111157200,1
0.114261700,0
0.114670800,1
0.114704600,0
0.116867600,1
0.117352500,0
0.119083600,1
0.119587000,0
0.120780500,1
0.121995900,0
0.122680200,1
0.124483200,0
0.127010900,1
0.130278300,0
0.131452100,1
0.133265100,0
0.133689700,1
0.133772400,0
0.136297300,1
0.136788900,0
0.139980900,1
0.142635400,0
0.145773000,1
0.147571900,0
0.148470300,1
0.151212000,0
0.151770000,1
0.153122900,0
0.156318800,1
0.158985800,0
0.161585600,1
0.162721500,0
0.164761700,1
0.165979900,0
0.167362700,1
0.169072200,0
0.169831000,1
0.170917900,0
0.171537400,1
0.173732600,0
0.174262700,1
0.176290800,0
0.176371100,1
0.178956800,0
0.180389600,1
0.181741200,0
0.182562500,1
0.183701100,0
0.185085900,1
0.187840400,0
0.189358200,1
0.189959000,0
0.192250200,1
0.195274800,0
0.197571100,1
0.197713800,0
0.198766800,1
0.200792400,0
0.201154200,1
0.201934500,0
0.202996600,1
0.203767800,0
0.206181300,1
0.209213700,0
0.210353800,1
0.210899300,0
0.213408000,1
0.214535300,0
0.215428800,1
0.215570200,0
0.218426900,1
0.218669400,0
0.219421500,1
0.221960100,0
0.224379400,1
0.225209300,0
0.226377100,1
0.227568700,0
0.229516400,1
0.231479000,0
0.233118000,1
0.233755400,0
0.236575600,1
0.238518300,0
0.239733900,1
0.240575000,0
0.241404100,1
0.242760900,0
0.244360000,1
0.245464000,0
0.246413500,1
0.249361700,0
0.250750000,1
0.250834600,0
0.251724900,1
